p,distribution,VaR
0.01,Normal,0.018514515704854854
0.01,Laplace,0.02208280423575178
0.01,Empirical,0.0239546580343034
0.02,Normal,0.016303154424186055
0.02,Laplace,0.01810680800227727
0.02,Empirical,0.020800634014380915
0.03,Normal,0.014900116590113194
0.03,Laplace,0.015780999302686127
0.03,Empirical,0.017350374115358093
0.04,Normal,0.013844665880309442
0.04,Laplace,0.014130811768802765
0.04,Empirical,0.015364306380629392
0.05,Normal,0.012986138149175172
0.05,Laplace,0.012850826876080986
0.05,Empirical,0.013976341992843536
0.060000000000000005,Normal,0.012255396207902594
0.060000000000000005,Laplace,0.011805003069211617
0.060000000000000005,Empirical,0.01257623955514187
0.06999999999999999,Normal,0.011614678477212441
0.06999999999999999,Laplace,0.010920771639624627
0.06999999999999999,Empirical,0.011556131206924933
0.08,Normal,0.011040992168649521
0.08,Laplace,0.010154815535328257
0.08,Empirical,0.010288164268138056
0.09,Normal,0.010519247423568166
0.09,Laplace,0.009479194369620471
0.09,Empirical,0.009307862505166785
0.09999999999999999,Normal,0.010038980530762395
0.09999999999999999,Laplace,0.00887483064260648
0.09999999999999999,Empirical,0.00858351177426506
